,node,scenario,count,time_above
0,J105-S_depth,Base,6,30
1,J10-S_depth,Base,11,55
2,J116-S_depth,Base,12,60
3,J119-S_depth,Base,0,0
4,J128-S_depth,Base,7,35
5,J130-S_depth,Base,54,270
6,J131-S_depth,Base,5,25
7,J136-S_depth,Base,18,90
8,J138-S_depth,Base,7,35
9,J141-S_depth,Base,6,30
10,J157-S_depth,Base,16,80
11,J163-S_depth,Base,5,25
12,J165-S_depth,Base,4,20
13,J171-S_depth,Base,2,10
14,J177-S_depth,Base,5,25
15,J182-S_depth,Base,15,75
16,J191-S_depth,Base,9,45
17,J1-S_depth,Base,6,30
18,J204-S_depth,Base,4,20
19,J208-S_depth,Base,11,55
20,J211-S_depth,Base,11,55
21,J227-S_depth,Base,64,320
22,J231-S_depth,Base,0,0
23,J232-S_depth,Base,0,0
24,J234-S_depth,Base,6,30
25,J238-S_depth,Base,0,0
26,J240-S_depth,Base,8,40
27,J245-S_depth,Base,13,65
28,J253-S_depth,Base,7,35
29,J260-S_depth,Base,9,45
30,J266-S_depth,Base,7,35
31,J268-S_depth,Base,3,15
32,J273-S_depth,Base,0,0
33,J278-S_depth,Base,10,50
34,J27-S_depth,Base,17,85
35,J280-S_depth,Base,17,85
36,J328-S_depth,Base,29,145
37,J329-S_depth,Base,10,50
38,J338-S_depth,Base,14,70
39,J33-S_depth,Base,25,125
40,J34-S_depth,Base,4,20
41,J361-S_depth,Base,15,75
42,J366-S_depth,Base,9,45
43,J385-S_depth,Base,44,220
44,J3-S_depth,Base,11,55
45,J413-S_depth,Base,9,45
46,J421-S_depth,Base,26,130
47,J42-S_depth,Base,2,10
48,J433-S_depth,Base,9,45
49,J437-S_depth,Base,5,25
50,J438-S_depth,Base,19,95
51,J450-S_depth,Base,6,30
52,J456-S_depth,Base,6,30
53,J45-S_depth,Base,4,20
54,J460-S_depth,Base,8,40
55,J461-S_depth,Base,10,50
56,J46-S_depth,Base,4,20
57,J471-S_depth,Base,21,105
58,J480-S_depth,Base,10,50
59,J484-S_depth,Base,15,75
60,J491-S_depth,Base,11,55
61,J492-S_depth,Base,2,10
62,J49-S_depth,Base,2,10
63,J4-S_depth,Base,8,40
64,J506-S_depth,Base,10,50
65,J507-S_depth,Base,17,85
66,J50-S_depth,Base,5,25
67,J512-S_depth,Base,10,50
68,J534-S_depth,Base,11,55
69,J539-S_depth,Base,34,170
70,J541-S_depth,Base,6,30
71,J548-S_depth,Base,38,190
72,J556-S_depth,Base,17,85
73,J567-S_depth,Base,9,45
74,J568-S_depth,Base,11,55
75,J571-S_depth,Base,3,15
76,J576-S_depth,Base,9,45
77,J578-S_depth,Base,11,55
78,J586-S_depth,Base,2,10
79,J587-S_depth,Base,19,95
80,J592-S_depth,Base,4,20
81,J5-S_depth,Base,11,55
82,J609-S_depth,Base,4,20
83,J60-S_depth,Base,8,40
84,J619-S_depth,Base,9,45
85,J620-S_depth,Base,66,330
86,J624-S_depth,Base,65,325
87,J62-S_depth,Base,32,160
88,J632-S_depth,Base,6,30
