,node,scenario,count,time_above
0,J105-S_depth,Base,6,30
1,J10-S_depth,Base,21,105
2,J116-S_depth,Base,22,110
3,J119-S_depth,Base,3,15
4,J128-S_depth,Base,13,65
5,J130-S_depth,Base,57,285
6,J131-S_depth,Base,4,20
7,J136-S_depth,Base,22,110
8,J138-S_depth,Base,13,65
9,J141-S_depth,Base,6,30
10,J157-S_depth,Base,22,110
11,J163-S_depth,Base,5,25
12,J165-S_depth,Base,4,20
13,J171-S_depth,Base,0,0
14,J177-S_depth,Base,5,25
15,J182-S_depth,Base,22,110
16,J191-S_depth,Base,16,80
17,J1-S_depth,Base,0,0
18,J204-S_depth,Base,0,0
19,J208-S_depth,Base,19,95
20,J211-S_depth,Base,18,90
21,J227-S_depth,Base,51,255
22,J231-S_depth,Base,0,0
23,J232-S_depth,Base,0,0
24,J234-S_depth,Base,8,40
25,J238-S_depth,Base,0,0
26,J240-S_depth,Base,15,75
27,J245-S_depth,Base,22,110
28,J253-S_depth,Base,3,15
29,J260-S_depth,Base,12,60
30,J266-S_depth,Base,6,30
31,J268-S_depth,Base,0,0
32,J273-S_depth,Base,0,0
33,J278-S_depth,Base,16,80
34,J27-S_depth,Base,14,70
35,J280-S_depth,Base,24,120
36,J328-S_depth,Base,31,155
37,J329-S_depth,Base,16,80
38,J338-S_depth,Base,23,115
39,J33-S_depth,Base,25,125
40,J34-S_depth,Base,2,10
41,J361-S_depth,Base,25,125
42,J366-S_depth,Base,16,80
43,J385-S_depth,Base,48,240
44,J3-S_depth,Base,16,80
45,J413-S_depth,Base,15,75
46,J421-S_depth,Base,37,185
47,J42-S_depth,Base,0,0
48,J433-S_depth,Base,12,60
49,J437-S_depth,Base,15,75
50,J438-S_depth,Base,31,155
51,J450-S_depth,Base,5,25
52,J456-S_depth,Base,7,35
53,J45-S_depth,Base,0,0
54,J460-S_depth,Base,11,55
55,J461-S_depth,Base,18,90
56,J46-S_depth,Base,2,10
57,J471-S_depth,Base,26,130
58,J480-S_depth,Base,18,90
59,J484-S_depth,Base,24,120
60,J491-S_depth,Base,20,100
61,J492-S_depth,Base,0,0
62,J49-S_depth,Base,0,0
63,J4-S_depth,Base,16,80
64,J506-S_depth,Base,17,85
65,J507-S_depth,Base,25,125
66,J50-S_depth,Base,5,25
67,J512-S_depth,Base,16,80
68,J534-S_depth,Base,19,95
69,J539-S_depth,Base,34,170
70,J541-S_depth,Base,9,45
71,J548-S_depth,Base,35,175
72,J556-S_depth,Base,22,110
73,J567-S_depth,Base,10,50
74,J568-S_depth,Base,18,90
75,J571-S_depth,Base,0,0
76,J576-S_depth,Base,12,60
77,J578-S_depth,Base,20,100
78,J586-S_depth,Base,0,0
79,J587-S_depth,Base,25,125
80,J592-S_depth,Base,0,0
81,J5-S_depth,Base,19,95
82,J609-S_depth,Base,3,15
83,J60-S_depth,Base,16,80
84,J619-S_depth,Base,15,75
85,J620-S_depth,Base,78,390
86,J624-S_depth,Base,75,375
87,J62-S_depth,Base,29,145
88,J632-S_depth,Base,1,5
89,J637-S_depth,Base,19,95
90,J640-S_depth,Base,16,80
91,J659-S_depth,Base,22,110
92,J672-S_depth,Base,9,45
93,J675-S_depth,Base,19,95
94,J686-S_depth,Base,5,25
95,J694-S_depth,Base,0,0
96,J695-S_depth,Base,5,25
97,J712-S_depth,Base,2,10
98,J714-S_depth,Base,19,95
99,J71-S_depth,Base,31,155
100,J722-S_depth,Base,0,0
101,J72-S_depth,Base,0,0
102,J732-S_depth,Base,21,105
103,J733-S_depth,Base,6,30
104,J748-S_depth,Base,11,55
105,J749-S_depth,Base,20,100
106,J751-S_depth,Base,2,10
107,J756-S_depth,Base,29,145
108,J758-S_depth,Base,4,20
109,J760-S_depth,Base,0,0
110,J761-S_depth,Base,24,120
111,J762-S_depth,Base,0,0
112,J764-S_depth,Base,5,25
113,J765-S_depth,Base,0,0
114,J772-S_depth,Base,22,110
115,J782-S_depth,Base,0,0
116,J787-S_depth,Base,10,50
117,J789-S_depth,Base,3,15
118,J78-S_depth,Base,3,15
119,J792-S_depth,Base,26,130
120,J799-S_depth,Base,0,0
121,J7-S_depth,Base,29,145
122,J801-S_depth,Base,6,30
123,J80-S_depth,Base,0,0
124,J88-S_depth,Base,30,150
125,J8-S_depth,Base,38,190
126,J105-S_depth,I,6,30
127,J10-S_depth,I,17,85
128,J116-S_depth,I,19,95
129,J119-S_depth,I,2,10
130,J128-S_depth,I,0,0
131,J130-S_depth,I,52,260
132,J131-S_depth,I,2,10
133,J136-S_depth,I,19,95
134,J138-S_depth,I,14,70
135,J141-S_depth,I,6,30
136,J157-S_depth,I,19,95
137,J163-S_depth,I,5,25
138,J165-S_depth,I,4,20
139,J171-S_depth,I,0,0
140,J177-S_depth,I,5,25
141,J182-S_depth,I,19,95
142,J191-S_depth,I,16,80
143,J1-S_depth,I,0,0
144,J204-S_depth,I,0,0
145,J208-S_depth,I,19,95
146,J211-S_depth,I,16,80
147,J227-S_depth,I,44,220
148,J231-S_depth,I,0,0
149,J232-S_depth,I,0,0
150,J234-S_depth,I,8,40
151,J238-S_depth,I,0,0
152,J240-S_depth,I,14,70
153,J245-S_depth,I,16,80
154,J253-S_depth,I,0,0
155,J260-S_depth,I,7,35
156,J266-S_depth,I,5,25
157,J268-S_depth,I,0,0
158,J273-S_depth,I,0,0
159,J278-S_depth,I,7,35
160,J27-S_depth,I,13,65
161,J280-S_depth,I,21,105
162,J328-S_depth,I,30,150
163,J329-S_depth,I,13,65
164,J338-S_depth,I,19,95
165,J33-S_depth,I,25,125
166,J34-S_depth,I,2,10
167,J361-S_depth,I,22,110
168,J366-S_depth,I,1,5
169,J385-S_depth,I,48,240
170,J3-S_depth,I,7,35
171,J413-S_depth,I,15,75
172,J421-S_depth,I,34,170
173,J42-S_depth,I,0,0
174,J433-S_depth,I,12,60
175,J437-S_depth,I,13,65
176,J438-S_depth,I,18,90
177,J450-S_depth,I,3,15
178,J456-S_depth,I,7,35
179,J45-S_depth,I,0,0
180,J460-S_depth,I,11,55
181,J461-S_depth,I,13,65
182,J46-S_depth,I,2,10
183,J471-S_depth,I,27,135
184,J480-S_depth,I,18,90
185,J484-S_depth,I,20,100
186,J491-S_depth,I,16,80
187,J492-S_depth,I,0,0
188,J49-S_depth,I,0,0
189,J4-S_depth,I,16,80
190,J506-S_depth,I,18,90
191,J507-S_depth,I,21,105
192,J50-S_depth,I,5,25
193,J512-S_depth,I,9,45
194,J534-S_depth,I,19,95
195,J539-S_depth,I,34,170
196,J541-S_depth,I,9,45
197,J548-S_depth,I,35,175
198,J556-S_depth,I,22,110
199,J567-S_depth,I,6,30
200,J568-S_depth,I,12,60
201,J571-S_depth,I,0,0
202,J576-S_depth,I,2,10
203,J578-S_depth,I,14,70
204,J586-S_depth,I,0,0
205,J587-S_depth,I,25,125
206,J592-S_depth,I,0,0
207,J5-S_depth,I,16,80
208,J609-S_depth,I,3,15
209,J60-S_depth,I,16,80
210,J619-S_depth,I,15,75
211,J620-S_depth,I,78,390
212,J624-S_depth,I,74,370
