,Base,I,V,V&I,node_name,node_id,neighborhood
0,0.0,-0.0002695467021700537,-0.002170970553785345,-0.0027759990721443195,J105-S_flow,J105-S,Downtown
1,0.0,-0.04357861094077764,-0.1056562819808704,-0.15138504996302204,J10-S_flow,J10-S,Downtown
2,0.0,0.04745884319448734,-0.0888683062301947,-0.04470503184129715,J116-S_flow,J116-S,Downtown
3,0.0,-0.8724001482089208,-0.05870094958770533,-0.9435391502761719,J119-S_flow,J119-S,Downtown
4,0.0,-0.8986876354281054,-2.3269970625960923e-05,-0.8987057055293906,J128-S_flow,J128-S,Canton
5,0.0,-0.8114047831987433,-0.03007680340469321,-0.8221226504641039,J130-S_flow,J130-S,Downtown
6,0.0,-0.9735535970022207,-0.042303630797337455,-1.002453752404242,J131-S_flow,J131-S,Downtown
7,0.0,0.13347190131479625,-0.021900554132435524,0.11198675636124023,J136-S_flow,J136-S,Downtown
8,0.0,-3.617329707850114e-05,-0.00021221667619408802,-0.00029340563185920043,J138-S_flow,J138-S,Downtown
9,0.0,-0.00030009642371942036,-0.022744267654562833,-0.023418197227235815,J141-S_flow,J141-S,Downtown
10,0.0,-0.0012864659538465162,-0.03870589428428994,-0.04007104961449848,J157-S_flow,J157-S,Downtown
11,0.0,-8.012845107607802e-05,-0.040727721860863486,-0.04091182372486113,J163-S_flow,J163-S,Downtown
12,0.0,-8.229695546058124e-05,-0.02423835022216192,-0.024422755857282485,J165-S_flow,J165-S,Federal Hill
13,0.0,-0.00013644668101364665,-0.0008004871952789205,-0.0011067341904422712,J171-S_flow,J171-S,Canton
14,0.0,-0.00017502329832730368,-0.0029104682431335682,-0.0033032876376442033,J177-S_flow,J177-S,Federal Hill
15,0.0,-0.030589792733796806,-0.025571809745271068,-0.05609667112413508,J182-S_flow,J182-S,Federal Hill
16,0.0,0.0009225309252307579,-8.007143977528663e-05,0.000822855347470508,J191-S_flow,J191-S,Fells Point
17,0.0,-9.758782131208399e-05,-0.0005725152183645443,-0.0007915456617541006,J1-S_flow,J1-S,Clifton Park
18,0.0,-3.808127780424719e-05,-0.00022341016311688833,-0.00030888147552143863,J204-S_flow,J204-S,Fells Point
19,0.0,-6.558960660374424e-05,-0.09642028065435682,-0.09658522347165288,J208-S_flow,J208-S,Downtown
20,0.0,-0.7900261352487976,-0.010351380147438416,-0.7982480841874247,J211-S_flow,J211-S,Fells Point
21,0.0,-0.0005654166474911015,-0.0011084762078965582,-0.0019087947118365811,J227-S_flow,J227-S,Locust Point
22,0.0,2.5287716459898926e-05,2.8429977085100283e-05,-3.052481750180115e-05,J231-S_flow,J231-S,Locust Point
23,0.0,3.0956466920806225e-05,4.723952662100128e-06,3.8778151123401716e-05,J232-S_flow,J232-S,Locust Point
24,0.0,-6.139793763804136e-05,-0.0003602012341428207,-0.0004980054941747802,J234-S_flow,J234-S,Locust Point
